key,cp,ville,lat,lon
56920_NOYAL-PONTIVY,56920,NOYAL-PONTIVY,48.053581,-2.887464
56530_QUEVEN,56530,QUEVEN,47.788456,-3.41623
56250_SAINT-NOLFF,56250,SAINT-NOLFF,47.705581,-2.669453
56890_SAINT-AVE,56890,SAINT-AVE,47.701398,-2.742536
56490_MOHON,56490,MOHON,48.061804,-2.498785
56760_PENESTIN,56760,PENESTIN,47.470977,-2.467459
56400_PLUNERET,56400,PLUNERET,47.679005,-2.943458
56400_PLUNERET -,56400,PLUNERET -,47.679005,-2.943458
56220_ROCHEFORT-EN-TERRE,56220,ROCHEFORT-EN-TERRE,47.698592,-2.341185
56450_THEIX-NOYALO,56450,THEIX-NOYALO,47.630397,-2.649735
56000_VANNES,56000,VANNES,47.659971,-2.752192
56110_GOURIN,56110,GOURIN,48.1275,-3.598166
56300_PONTIVY,56300,PONTIVY,48.065625,-2.975174
56190_MUZILLAC -,56190,MUZILLAC -,47.550098,-2.469881
56800_PLOERMEL,56800,PLOERMEL,47.914472,-2.375543
56680_PLOUHINEC,56680,PLOUHINEC,47.693989,-3.24097
56340_CARNAC,56340,CARNAC,47.602146,-3.066068
56000_VANNES -,56000,VANNES -,47.659971,-2.752192
56640_ARZON,56640,ARZON,47.548935,-2.891423
56170_QUIBERON,56170,QUIBERON,47.486711,-3.120228
56610_ARRADON,56610,ARRADON,47.633837,-2.825238
56230_QUESTEMBERT,56230,QUESTEMBERT,47.665587,-2.435474
56370_LE TOUR-DU-PARC,56370,LE TOUR-DU-PARC,47.527672,-2.652816
56430_TREHORENTEUC,56430,TREHORENTEUC,48.006451,-2.289131
56310_BUBRY,56310,BUBRY,47.971017,-3.171959
56250_SAINT-NOLFF -,56250,SAINT-NOLFF -,47.705581,-2.669453
56310_MELRAND,56310,MELRAND,47.972726,-3.103592
56230_BERRIC -,56230,BERRIC -,47.636558,-2.530011
56150_BAUD,56150,BAUD,47.870481,-3.03298
56330_CAMORS,56330,CAMORS,47.831204,-3.002336
56480_CLEGUEREC,56480,CLEGUEREC,48.126998,-3.06261
56430_CONCORET,56430,CONCORET,48.064221,-2.20887
56410_ERDEVEN,56410,ERDEVEN,47.639164,-3.155599
56290_GAVRES,56290,GAVRES,47.705313,-3.352945
56600_LANESTER,56600,LANESTER,47.768777,-3.330862
56220_LIMERZEL,56220,LIMERZEL,47.638705,-2.363749
56160_LANGOELAN,56160,LANGOELAN,48.118496,-3.235607
56320_LANVENEGEN,56320,LANVENEGEN,48.004246,-3.536855
56870_LARMOR-BADEN,56870,LARMOR-BADEN,47.592551,-2.901833
56500_LOCMINE,56500,LOCMINE,47.880895,-2.835186
56230_MOLAC,56230,MOLAC,47.727031,-2.443527
56340_PLOUHARNEL,56340,PLOUHARNEL,47.604059,-3.116522
56580_ROHAN,56580,ROHAN,48.088096,-2.746309
56340_CARNAC -,56340,CARNAC -,47.602146,-3.066068
56870_BADEN -,56870,BADEN -,47.61569,-2.903116
56190_BILLIERS,56190,BILLIERS,47.527121,-2.484177
56950_CRACH,56950,CRACH,47.633606,-2.993476
56440_LANGUIDIC,56440,LANGUIDIC,47.827952,-3.150877
56550_LOCOAL-MENDON,56550,LOCOAL-MENDON,47.698187,-3.10669
56140_MALESTROIT,56140,MALESTROIT,47.8078,-2.38677
56190_NOYAL-MUZILLAC,56190,NOYAL-MUZILLAC,47.593711,-2.463195
56930_PLUMELIAU,56930,PLUMELIAU,47.970027,-2.995378
56330_PLUVIGNER,56330,PLUVIGNER,47.781616,-3.020092
56670_RIANTEC -,56670,RIANTEC -,47.722021,-3.310604
56200_GLENAC,56200,GLENAC,47.730217,-2.121157
56130_PEAULE,56130,PEAULE,47.584624,-2.338699
56750_DAMGAN -,56750,DAMGAN -,47.518541,-2.588881
56230_LE COURS,56230,LE COURS,47.743022,-2.504574
56420_PLUMELEC -,56420,PLUMELEC -,47.827251,-2.618295
56320_PRIZIAC,56320,PRIZIAC,48.053723,-3.424599
56110_GOURIN -,56110,GOURIN -,48.1275,-3.598166
56100_LORIENT -,56100,LORIENT -,47.750364,-3.378025
56410_ETEL,56410,ETEL,47.656057,-3.197338
56190_ARZAL,56190,ARZAL,47.527651,-2.401424
56140_PLEUCADEUC,56140,PLEUCADEUC,47.777983,-2.384674
56310_GUERN,56310,GUERN,48.034345,-3.098305
56800_MONTERTELOT -,56800,MONTERTELOT -,47.884944,-2.412143
56380_PORCARO,56380,PORCARO,47.914573,-2.199052
56140_RUFFIAC,56140,RUFFIAC,47.817066,-2.289312
56480_SAINT-AIGNAN -,56480,SAINT-AIGNAN -,48.175504,-3.040655
